country,scenario,model,years_of_shortfall_asc,total_unmet_volume_gt_asc,whole_period_pass_asc,years_of_shortfall_desc,total_unmet_volume_gt_desc,whole_period_pass_desc,d_years_of_shortfall,d_total_unmet_gt,pass_flip,total_wells_asc_2050,n_eff_asc_2050,active_basins_asc_2050,total_wells_desc_2050,n_eff_desc_2050,active_basins_desc_2050,d_total_wells_2050,d_n_eff_2050,d_active_basins_2050,total_wells_asc_2100,n_eff_asc_2100,active_basins_asc_2100,total_wells_desc_2100,n_eff_desc_2100,active_basins_desc_2100,d_total_wells_2100,d_n_eff_2100,d_active_basins_2100,total_wells_asc_2179,n_eff_asc_2179,active_basins_asc_2179,total_wells_desc_2179,n_eff_desc_2179,active_basins_desc_2179,d_total_wells_2179,d_n_eff_2179,d_active_basins_2179
Thailand,policy,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,30,1.0,1,16,1.0,1,-14,0.0,0,42,1.86,2,16,1.0,1,-26,-0.8600000000000001,-1,42,1.29,2,16,1.0,1,-26,-0.29000000000000004,-1
Thailand,policy,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,49,1.0,1,210,1.0,1,161,0.0,0,98,1.98,2,210,1.0,1,112,-0.98,-1,49,1.0,1,210,1.0,1,161,0.0,0
UK,policy,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,200,3.28,4,462,1.0,1,262,-2.28,-3,472,3.66,6,462,1.0,1,-10,-2.66,-5,200,2.9,4,462,1.0,1,262,-1.9,-3
UK,policy,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,117,2.28,3,930,1.0,1,813,-1.2799999999999998,-2,913,3.18,5,930,1.0,1,17,-2.18,-4,12,1.0,1,930,1.0,1,918,0.0,0
US,policy,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,1094,4.02,15,930,1.0,1,-164,-3.0199999999999996,-14,1656,3.5,17,2779,2.0,2,1123,-1.5,-15,1194,4.5,16,930,1.0,1,-264,-3.5,-15
US,policy,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,1005,3.23,14,2862,1.0,1,1857,-2.23,-13,8858,4.19,18,6958,1.96,2,-1900,-2.2300000000000004,-16,19,3.9,8,2862,1.0,1,2843,-2.9,-7
Australia,reference,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,138,1.74,4,342,1.0,1,204,-0.74,-3,1460,3.58,9,1018,1.37,2,-442,-2.21,-7,1460,3.41,9,1018,1.47,2,-442,-1.9400000000000002,-7
Australia,reference,Logistic,20,86.1448,False,21,105.9667,False,1,19.8219,False,166,1.94,4,930,1.0,1,764,-0.94,-3,3813,1.79,9,5325,3.39,9,1512,1.6,0,2,1.3,2,930,1.0,1,928,-0.30000000000000004,-1
Brazil,reference,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,886,2.83,7,169,1.0,1,-717,-1.83,-6,1210,1.98,8,169,1.0,1,-1041,-0.98,-7,886,3.23,7,169,1.0,1,-717,-2.23,-6
Brazil,reference,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,1931,3.28,7,676,1.0,1,-1255,-2.28,-6,1931,2.4,7,676,1.0,1,-1255,-1.4,-6,1,1.0,1,676,1.0,1,675,0.0,0
Canada,reference,Gompertz,119,228.0471,False,120,229.9002,False,1,1.853100000000012,False,634,1.01,3,361,1.0,1,-273,-0.010000000000000009,-2,634,1.95,3,634,1.98,3,0,0.030000000000000027,0,634,1.95,3,634,1.98,3,0,0.030000000000000027,0
Canada,reference,Logistic,51,314.9805,False,51,315.813,False,0,0.8324999999999818,False,463,1.0,2,484,1.0,1,21,0.0,-1,1139,1.88,3,1135,2.0,3,-4,0.1200000000000001,0,1,1.0,1,484,1.0,1,483,0.0,0
China,reference,Gompertz,108,186.6831,False,108,186.8133,False,0,0.1302000000000021,False,400,6.91,17,630,2.33,3,230,-4.58,-14,1220,8.01,21,1239,8.98,21,19,0.9700000000000006,0,964,7.9,20,999,5.99,7,35,-1.9100000000000001,-13
China,reference,Logistic,31,236.0404,False,31,237.5057,False,0,1.465299999999985,False,585,4.74,15,861,1.0,2,276,-3.74,-13,1021,6.18,17,1323,2.1,3,302,-4.08,-14,1,1.0,1,420,1.0,1,419,0.0,0
EU,reference,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,473,7.18,18,272,1.0,1,-201,-6.18,-17,788,5.76,20,272,1.0,1,-516,-4.76,-19,142,4.88,14,272,1.0,1,130,-3.88,-13
EU,reference,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,457,5.57,16,144,1.0,1,-313,-4.57,-15,613,6.43,17,144,1.0,1,-469,-5.43,-16,1,1.0,1,144,1.0,1,143,0.0,0
Indonesia,reference,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,53,1.94,3,9,1.0,1,-44,-0.94,-2,138,3.67,5,9,1.0,1,-129,-2.67,-4,53,1.69,3,9,1.0,1,-44,-0.69,-2
Indonesia,reference,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,98,1.64,3,121,1.0,1,23,-0.6399999999999999,-2,98,1.86,3,121,1.0,1,23,-0.8600000000000001,-2,1,1.0,1,121,1.0,1,120,0.0,0
Middle East,reference,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,509,1.59,5,30,1.0,1,-479,-0.5900000000000001,-4,509,1.96,5,30,1.0,1,-479,-0.96,-4,148,2.01,4,30,1.0,1,-118,-1.0099999999999998,-3
Middle East,reference,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,283,1.83,4,81,1.0,1,-202,-0.8300000000000001,-3,283,1.56,4,81,1.0,1,-202,-0.56,-3,1,1.0,1,81,1.0,1,80,0.0,0
Thailand,reference,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,30,1.0,1,16,1.0,1,-14,0.0,0,42,1.87,2,16,1.0,1,-26,-0.8700000000000001,-1,42,1.33,2,16,1.0,1,-26,-0.33000000000000007,-1
Thailand,reference,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,49,1.0,1,272,1.0,1,223,0.0,0,98,1.99,2,272,1.0,1,174,-0.99,-1,49,1.0,1,272,1.0,1,223,0.0,0
UK,reference,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,456,2.76,5,272,1.0,1,-184,-1.7599999999999998,-4,481,3.48,6,272,1.0,1,-209,-2.48,-5,200,3.26,4,272,1.0,1,72,-2.26,-3
UK,reference,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,357,2.61,4,961,1.0,1,604,-1.6099999999999999,-3,357,2.72,4,961,1.0,1,604,-1.7200000000000002,-3,12,1.0,1,961,1.0,1,949,0.0,0
US,reference,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,1194,4.05,16,930,1.0,1,-264,-3.05,-15,3277,4.52,18,4470,1.91,2,1193,-2.6099999999999994,-16,1094,3.74,15,930,1.0,1,-164,-2.74,-14
US,reference,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,2411,3.67,15,2862,1.0,1,451,-2.67,-14,3140,3.73,16,2862,1.0,1,-278,-2.73,-15,2,1.91,2,2862,1.0,1,2860,-0.9099999999999999,-1
Australia,us1gt,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,138,1.69,4,342,1.0,1,204,-0.69,-3,1549,3.35,9,1018,1.49,2,-531,-1.86,-7,1549,3.45,9,1018,1.43,2,-531,-2.0200000000000005,-7
Australia,us1gt,Logistic,20,89.8581,False,21,109.6787,False,1,19.820600000000013,False,166,1.9,4,930,1.0,1,764,-0.8999999999999999,-3,3813,1.79,9,5325,3.39,9,1512,1.6,0,1,1.0,1,930,1.0,1,929,0.0,0
Brazil,us1gt,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,886,2.82,7,169,1.0,1,-717,-1.8199999999999998,-6,1210,1.98,8,169,1.0,1,-1041,-0.98,-7,886,3.25,7,169,1.0,1,-717,-2.25,-6
Brazil,us1gt,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,1931,3.31,7,676,1.0,1,-1255,-2.31,-6,1931,2.43,7,676,1.0,1,-1255,-1.4300000000000002,-6,1,1.0,1,676,1.0,1,675,0.0,0
Canada,us1gt,Gompertz,119,228.1434,False,120,229.9973,False,1,1.8538999999999817,False,634,1.01,3,361,1.0,1,-273,-0.010000000000000009,-2,634,1.95,3,634,1.98,3,0,0.030000000000000027,0,634,1.95,3,634,1.98,3,0,0.030000000000000027,0
Canada,us1gt,Logistic,51,315.0015,False,51,315.8339,False,0,0.8324000000000069,False,463,1.0,2,484,1.0,1,21,0.0,-1,1139,1.88,3,1135,2.0,3,-4,0.1200000000000001,0,1,1.0,1,484,1.0,1,483,0.0,0
China,us1gt,Gompertz,107,189.9736,False,107,188.5729,False,0,-1.4007000000000005,False,544,6.93,18,630,2.52,3,86,-4.41,-15,1220,7.98,21,1239,9.01,21,19,1.0299999999999994,0,964,8.12,20,974,5.5,6,10,-2.619999999999999,-14
China,us1gt,Logistic,30,237.3459,False,31,238.8504,False,1,1.5045000000000073,False,585,4.98,15,861,1.11,2,276,-3.87,-13,1021,5.67,17,861,2.0,2,-160,-3.67,-15,1,1.0,1,420,1.0,1,419,0.0,0
EU,us1gt,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,473,7.16,18,272,1.0,1,-201,-6.16,-17,788,5.75,20,272,1.0,1,-516,-4.75,-19,191,5.11,15,272,1.0,1,81,-4.11,-14
EU,us1gt,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,457,5.48,16,144,1.0,1,-313,-4.48,-15,613,6.28,17,144,1.0,1,-469,-5.28,-16,1,1.0,1,144,1.0,1,143,0.0,0
Indonesia,us1gt,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,47,1.89,3,9,1.0,1,-38,-0.8899999999999999,-2,132,3.59,5,9,1.0,1,-123,-2.59,-4,47,1.78,3,9,1.0,1,-38,-0.78,-2
Indonesia,us1gt,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,98,1.56,3,121,1.0,1,23,-0.56,-2,98,1.79,3,121,1.0,1,23,-0.79,-2,1,1.0,1,121,1.0,1,120,0.0,0
Middle East,us1gt,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,509,1.55,5,30,1.0,1,-479,-0.55,-4,509,1.96,5,30,1.0,1,-479,-0.96,-4,148,2.0,4,30,1.0,1,-118,-1.0,-3
Middle East,us1gt,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,283,1.84,4,81,1.0,1,-202,-0.8400000000000001,-3,283,1.54,4,81,1.0,1,-202,-0.54,-3,1,1.0,1,81,1.0,1,80,0.0,0
Thailand,us1gt,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,30,1.0,1,16,1.0,1,-14,0.0,0,42,1.88,2,16,1.0,1,-26,-0.8799999999999999,-1,42,1.36,2,16,1.0,1,-26,-0.3600000000000001,-1
Thailand,us1gt,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,49,1.0,1,272,1.0,1,223,0.0,0,98,2.0,2,272,1.0,1,174,-1.0,-1,49,1.0,1,272,1.0,1,223,0.0,0
UK,us1gt,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,456,2.88,5,272,1.0,1,-184,-1.88,-4,481,3.47,6,272,1.0,1,-209,-2.47,-5,200,3.23,4,272,1.0,1,72,-2.23,-3
UK,us1gt,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,357,2.69,4,961,1.0,1,604,-1.69,-3,357,2.82,4,961,1.0,1,604,-1.8199999999999998,-3,12,1.0,1,961,1.0,1,949,0.0,0
US,us1gt,Gompertz,0,0.0,True,0,0.0,True,0,0.0,False,1094,4.02,15,930,1.0,1,-164,-3.0199999999999996,-14,1656,3.5,17,2779,2.0,2,1123,-1.5,-15,1194,4.5,16,930,1.0,1,-264,-3.5,-15
US,us1gt,Logistic,0,0.0,True,0,0.0,True,0,0.0,False,1005,3.23,14,2862,1.0,1,1857,-2.23,-13,8858,4.19,18,6958,1.96,2,-1900,-2.2300000000000004,-16,19,3.9,8,2862,1.0,1,2843,-2.9,-7
